subject,predicate,object,latitude,longitude,timestamp,source,CID
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRT69002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38070785,-157.73248372,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRM113003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38991032,-157.74194303,"2026-08-03T22:00:04.058Z","UAV 2",3
"FRAHS001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38648674,-157.73488636,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRLAV002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38991003,-157.74175359,"2026-08-03T22:00:04.058Z","UAV 2",3
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38105580,-157.73267743,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38108246,-157.73261244,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRM109003","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38683207,-157.73484206,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRM113001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38989736,-157.74163464,"2026-08-03T22:00:04.058Z","UAV 2",3
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRT69002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38070785,-157.73248372,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRM113003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38991032,-157.74194303,"2026-08-03T22:00:04.058Z","UAV 2",3
"FRAHS001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38648674,-157.73488636,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRLAV002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38991003,-157.74175359,"2026-08-03T22:00:04.058Z","UAV 2",3
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38105580,-157.73267743,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38108246,-157.73261244,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRM109003","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38683207,-157.73484206,"2026-08-03T22:00:04.058Z","UAV 2",1
"FRM113001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38989736,-157.74163464,"2026-08-03T22:00:04.058Z","UAV 2",3
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T22:00:06.146Z","UAV 2",1
"FRT69002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38070977,-157.73268246,"2026-08-03T22:00:06.146Z","UAV 2",1
"FRM113003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38991754,-157.74194303,"2026-08-03T22:00:06.146Z","UAV 2",3
"FRAHS001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38641482,-157.73508599,"2026-08-03T22:00:06.146Z","UAV 2",1
"FRLAV002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38991719,-157.74174917,"2026-08-03T22:00:06.146Z","UAV 2",3
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38105271,-157.73287615,"2026-08-03T22:00:06.146Z","UAV 2",1
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38107901,-157.73281116,"2026-08-03T22:00:06.146Z","UAV 2",1
"FRM109003","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38675678,-157.73504027,"2026-08-03T22:00:06.146Z","UAV 2",1
"FRM113001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38990379,-157.74163464,"2026-08-03T22:00:06.146Z","UAV 2",3
"FRM109001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38645378,-157.73464664,"2026-08-03T22:00:06.146Z","UAV 2",1
"FRT69002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38071168,-157.73287982,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38104965,-157.73307350,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38107557,-157.73300850,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT80001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.37578327,-157.75254648,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT80002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.37562428,-157.75292311,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRTRK1001","Move to {-5498755.048693, -2250824.434840, 2311307.787782}","-",21.38840282,-157.74987870,"2026-08-03T22:00:08.202Z","UAV 2",3
"FRTRK2002","Move to {-5498755.048693, -2250824.434840, 2311307.787782}","-",21.38823980,-157.75005339,"2026-08-03T22:00:08.202Z","UAV 2",3
"FRT80004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.37554673,-157.75263545,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT69002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38071168,-157.73287982,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38104965,-157.73307350,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38107557,-157.73300850,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT80001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.37578327,-157.75254648,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRT80002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.37562428,-157.75292311,"2026-08-03T22:00:08.202Z","UAV 2",1
"FRTRK1001","Move to {-5498755.048693, -2250824.434840, 2311307.787782}","-",21.38840282,-157.74987870,"2026-08-03T22:00:08.202Z","UAV 2",3
"FRTRK2002","Move to {-5498755.048693, -2250824.434840, 2311307.787782}","-",21.38823980,-157.75005339,"2026-08-03T22:00:08.202Z","UAV 2",3
