subject,predicate,object,timestamp,latitude,longitude,source,force,tracking_id,uuid,entity_type,damage,smoke,flaming,mobility_kill,firepower_kill,suppression_level
"FRLAV002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.39123112,-157.74535145,"UAV 3","1","1:3001:135","FRLAV002","1:1:39:2:6:1:0","0","false","false","false","false","0"
"FRLAV006","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.39143820,-157.74568522,"UAV 3","1","1:3001:140","FRLAV006","1:1:39:2:6:1:0","0","false","false","false","false","0"
"FRLAV008","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.39153479,-157.74585366,"UAV 3","1","1:3001:190","FRLAV008","1:1:39:2:6:1:0","0","false","false","false","false","0"
"FRLAV001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.39116405,-157.74526910,"UAV 3","1","1:3001:264","FRLAV001","1:1:39:2:6:1:0","0","false","false","false","false","0"
"FRLAV003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.39168281,-157.74539707,"UAV 3","1","1:3001:272","FRLAV003","1:1:39:2:6:1:0","0","false","false","false","false","0"
"FRLAV005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.39176161,-157.74557259,"UAV 3","1","1:3001:295","FRLAV005","1:1:39:2:6:1:0","0","false","false","false","false","0"
"FRLAV007","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.39183897,-157.74574801,"UAV 3","1","1:3001:305","FRLAV007","1:1:39:2:6:1:0","0","false","false","false","false","0"
"FRLAV004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.39172199,-157.74548486,"UAV 3","1","1:3001:335","FRLAV004","1:1:39:2:6:1:0","0","false","false","false","false","0"
"FRRPG007","Move-To Waypoint: ""P2""","-","2026-08-09T08:53:44.000Z",21.39080474,-157.74433608,"UAV 3","1","1:3001:9","FRRPG007","3:1:218:11:70:10:8","0","false","false","false","false","0"
"FRRPG009","Move-To Waypoint: ""P4""","-","2026-08-09T08:53:44.000Z",21.39084198,-157.74426890,"UAV 3","1","1:3001:32","FRRPG009","3:1:218:11:70:10:8","0","false","false","false","false","0"
