subject,predicate,object,latitude,longitude,timestamp,source,CID
"ENM1A2003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37332363,-157.74325028,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"2 Force","None","-",42.32429274,45.00000000,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF020","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38661062,-157.73910130,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"1 Force","None","-",42.32429274,45.00000000,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF008","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38663107,-157.73914222,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF010","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36871354,-157.74041195,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF021","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36872227,-157.74066578,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF017","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38642913,-157.73892930,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF011","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36857409,-157.74039658,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRAT003","Move to {-5499787.734679, -2249653.499925, 2310139.926712}","-",21.38682066,-157.73910413,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF015","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38682743,-157.73923988,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENT72003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37144185,-157.74159638,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENSNP003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37006351,-157.74461076,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENCAESAR002","Move to {-5499444.816370, -2250654.663336, 2309957.213850}","-",21.37575255,-157.73461499,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF002","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36896332,-157.74036676,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRSNP001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.38208886,-157.75589636,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENBTR60001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.36895864,-157.74036033,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRRPG001","Move to {-5499787.734679, -2249653.499925, 2310139.926712}","-",21.38969331,-157.74180625,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF028","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36865425,-157.74050350,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF005","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38668206,-157.73904927,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENM1A2001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37345111,-157.74288986,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRT80001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.37533863,-157.75308164,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRT69002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38062533,-157.73220910,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"3 Force","None","-",42.32429274,45.00000000,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF012","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38680825,-157.73909430,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRT69001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38083270,-157.73220706,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF033","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36881678,-157.74064038,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENT72002","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37129994,-157.74157532,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF027","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36879790,-157.74063147,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRAT005","Move to {-5499787.734679, -2249653.499925, 2310139.926712}","-",21.38659994,-157.73921385,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF010","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38648179,-157.73927843,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRRPG004","Move to {-5499787.734679, -2249653.499925, 2310139.926712}","-",21.38972522,-157.74162557,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRT80002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.37519151,-157.75345882,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENSA7002","Follow-Entity Entity: ""ENSA7001"" Offset: <-0 0 -0 >","-",21.36863346,-157.74025410,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF022","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38675771,-157.73922327,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.36858990,-157.74040845,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRTRK1001","Move to {-5498755.048693, -2250824.434840, 2311307.787782}","-",21.38834982,-157.75048016,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF002","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38677755,-157.73894590,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRM113003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38989802,-157.74194311,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENT72005","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37131762,-157.74188605,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF023","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38671189,-157.73883349,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENSNP004","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37011083,-157.74445641,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF003","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36897438,-157.74026603,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENGAZ001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37338181,-157.73279263,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF016","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36862560,-157.74044721,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRSNP004","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.38224172,-157.75591388,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF031","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36863275,-157.74045167,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENZPU001","None","-",21.37556659,-157.74448062,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF021","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38657010,-157.73901366,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRAHS001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38644926,-157.73469918,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF022","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36876214,-157.74064439,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENSA7004","Follow-Entity Entity: ""ENSA7001"" Offset: <-0 0 -0 >","-",21.36875459,-157.74061015,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF008","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36858800,-157.74046728,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF013","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36894313,-157.74042623,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF015","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36889708,-157.74052229,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF024","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36869610,-157.74052511,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF007","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36869091,-157.74056643,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENT72001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37146301,-157.74170923,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRMORT001","FFE-On-Location ""Location={-5498976.908217, -2251427.979631, 2310206.739358}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.39117121,-157.73700854,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENSA7005","Follow-Entity Entity: ""ENSA7001"" Offset: <-0 0 -0 >","-",21.36895874,-157.74067012,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENBTR60003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.36886594,-157.74068491,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRSNP002","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.38208058,-157.75593490,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRLAV002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38989779,-157.74176114,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF012","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36857065,-157.74069691,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENM1A2002","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37356381,-157.74317187,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENBTR80001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.36864791,-157.74039604,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF018","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36877416,-157.74062510,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38097553,-157.73240282,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38100236,-157.73233783,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRM113002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38976031,-157.74169219,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF035","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36877270,-157.74052532,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRSNP003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.38207673,-157.75586536,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENGAZ002","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37350052,-157.73315594,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF013","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38669607,-157.73900290,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF017","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36884819,-157.74057527,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"ENINF032","Follow-Entity Entity: ""ENINF001"" Offset: <-0 0 -0 >","-",21.36862151,-157.74037966,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
"FRINF001","Move to {-5499123.141030, -2250320.406046, 2311025.754248}","-",21.38684654,-157.73927068,"2026-08-03T08:09:12.000Z","GROUND_TRUTH",-1
