rule_id,layer,predicate,subject,object,provenance
R1,derived,suppresses,FR-INF-001,EN-INF-001,E01495|E01497
R1,derived,suppresses,FR-INF-002,EN-INF-002,E01503|E01505
R1,derived,suppresses,FR-INF-003,EN-INF-003,E01511|E01513
R1,derived,suppresses,FR-INF-004,EN-INF-004,E01519|E01521
R1,derived,suppresses,FR-INF-005,EN-INF-005,E01527|E01529
R1,derived,suppresses,FR-INF-006,EN-INF-006,E01535|E01537
R1,derived,suppresses,FR-INF-007,EN-INF-007,E01543|E01545
R1,derived,suppresses,FR-INF-008,EN-INF-008,E01551|E01553
R1,derived,suppresses,FR-INF-009,EN-INF-009,E01559|E01561
R1,derived,suppresses,FR-INF-010,EN-INF-010,E01567|E01569
R1,derived,suppresses,FR-INF-011,EN-INF-011,E01575|E01577
R1,derived,suppresses,FR-INF-012,EN-INF-012,E01583|E01585
R1,derived,suppresses,FR-INF-013,EN-INF-013,E01591|E01593
R1,derived,suppresses,FR-INF-014,EN-INF-014,E01599|E01601
R1,derived,suppresses,FR-INF-015,EN-INF-015,E01607|E01609
R1,derived,suppresses,FR-INF-016,EN-INF-016,E01615|E01617
R1,derived,suppresses,FR-INF-017,EN-INF-017,E01623|E01625
R1,derived,suppresses,FR-INF-018,EN-INF-018,E01631|E01633
R1,derived,suppresses,FR-INF-019,EN-INF-019,E01639|E01641
R1,derived,suppresses,FR-INF-020,EN-INF-020,E01647|E01649
R1,derived,suppresses,FR-INF-021,EN-INF-021,E01655|E01657
R1,derived,suppresses,FR-INF-022,EN-INF-022,E01663|E01665
R1,derived,suppresses,FR-INF-023,EN-INF-023,E01671|E01673
R1,derived,suppresses,FR-INF-024,EN-INF-024,E01679|E01681
R1,derived,suppresses,FR-INF-025,EN-INF-025,E01687|E01689
R1,derived,suppresses,FR-INF-026,EN-INF-026,E01695|E01697
R1,derived,suppresses,FR-INF-027,EN-INF-027,E01703|E01705
R1,derived,suppresses,FR-INF-028,EN-INF-028,E01711|E01713
R1,derived,suppresses,FR-INF-029,EN-INF-029,E01719|E01721
R1,derived,suppresses,FR-INF-030,EN-INF-030,E01727|E01729
R1,derived,suppresses,FR-INF-031,EN-INF-031,E01735|E01737
R1,derived,suppresses,FR-INF-032,EN-INF-032,E01743|E01745
R1,derived,suppresses,FR-INF-033,EN-INF-033,E01751|E01753
R1,derived,suppresses,FR-INF-034,EN-INF-034,E01759|E01761
R1,derived,suppresses,FR-INF-035,EN-INF-035,E01767|E01769
R2,derived,damages,FR-INF-036,EN-T72-001,E01775|E01777
R2,derived,damages,FR-INF-037,EN-T72-002,E01783|E01785
R2,derived,damages,FR-INF-038,EN-T72-003,E01791|E01793
