slot_id,origin,scheduled_time_s,shooter_id,target_id,target_ref,firing_ref,distance_m,target_task_count,status,reason
ENR-000-FR-AT-001-EN-ZPU-001,enrichment,428,FR-AT-001,EN-ZPU-001,LOC_적북측접근로,,1716.4,0,accepted,
ENR-001-FR-AT-002-EN-ZPU-002,enrichment,443,FR-AT-002,EN-ZPU-002,LOC_북측예비방어선,,1182.2,0,accepted,
ENR-002-FR-AT-003-EN-ZPU-003,enrichment,458,FR-AT-003,EN-ZPU-003,LOC_적북측접근로,,1716.4,0,accepted,
ENR-003-FR-AT-004-EN-CMD-001,enrichment,473,FR-AT-004,EN-CMD-001,LOC_북측예비방어선,,1182.2,1,accepted,
ENR-004-FR-AT-005-EN-CMD-002,enrichment,488,FR-AT-005,EN-CMD-002,LOC_적북측접근로,,1716.4,1,accepted,
ENR-005-FR-AT-006-EN-MORT-001,enrichment,503,FR-AT-006,EN-MORT-001,LOC_북측예비방어선,,1182.2,2,accepted,
ENR-006-FR-AT-007-EN-MORT-002,enrichment,518,FR-AT-007,EN-MORT-002,LOC_적북측접근로,,1716.4,2,accepted,
ENR-007-FR-AT-008-EN-MORT-003,enrichment,533,FR-AT-008,EN-MORT-003,LOC_북측예비방어선,,1182.2,2,accepted,
ENR-008-FR-AT-009-EN-MORT-004,enrichment,548,FR-AT-009,EN-MORT-004,LOC_적북측접근로,,1716.4,2,accepted,
ENR-009-FR-AT-010-EN-MORT-005,enrichment,563,FR-AT-010,EN-MORT-005,LOC_북측예비방어선,,1182.2,2,accepted,
ENR-010-FR-AT-011-EN-INF-060,enrichment,578,FR-AT-011,EN-INF-060,LOC_적북측접근로,,1716.4,2,accepted,
ENR-011-FR-AT-012-EN-INF-061,enrichment,593,FR-AT-012,EN-INF-061,LOC_북측예비방어선,,1182.2,2,accepted,
ENR-012-FR-CMD-001-EN-INF-062,enrichment,537,FR-CMD-001,EN-INF-062,LOC_적북측접근로,LOC_북측예비방어선,267.5,2,accepted,
ENR-013-FR-CMD-002-EN-INF-063,enrichment,552,FR-CMD-002,EN-INF-063,LOC_북측예비방어선,LOC_북측전방방어선,270.3,2,accepted,
ENR-014-FR-INF-054-EN-INF-064,enrichment,637,FR-INF-054,EN-INF-064,LOC_적북측접근로,LOC_북측관측소,337.3,2,accepted,
ENR-015-FR-INF-055-EN-INF-065,enrichment,653,FR-INF-055,EN-INF-065,LOC_북측예비방어선,LOC_적북측접근로,267.5,2,accepted,
ENR-016-FR-INF-056-EN-INF-066,enrichment,668,FR-INF-056,EN-INF-066,LOC_적북측접근로,LOC_적북측집결지,309.8,2,accepted,
ENR-017-FR-LAV-001-EN-INF-067,enrichment,686,FR-LAV-001,EN-INF-067,LOC_북측예비방어선,,1526.0,2,accepted,
ENR-018-FR-LAV-002-EN-INF-068,enrichment,701,FR-LAV-002,EN-INF-068,LOC_적북측접근로,,1440.6,2,accepted,
ENR-019-FR-LAV-003-EN-INF-069,enrichment,716,FR-LAV-003,EN-INF-069,LOC_북측예비방어선,,1526.0,2,accepted,
ENR-020-FR-LAV-004-EN-INF-070,enrichment,731,FR-LAV-004,EN-INF-070,LOC_적북측접근로,,1440.6,2,accepted,
ENR-021-FR-LAV-005-EN-INF-071,enrichment,746,FR-LAV-005,EN-INF-071,LOC_북측예비방어선,,1526.0,2,accepted,
ENR-022-FR-LAV-006-EN-INF-072,enrichment,761,FR-LAV-006,EN-INF-072,LOC_적북측접근로,,1440.6,2,accepted,
ENR-023-FR-LAV-007-EN-INF-073,enrichment,776,FR-LAV-007,EN-INF-073,LOC_북측예비방어선,,1526.0,2,accepted,
ENR-024-FR-LAV-008-EN-INF-074,enrichment,791,FR-LAV-008,EN-INF-074,LOC_적북측접근로,,1440.6,2,accepted,
SRC-E01494,source,200,FR-INF-001,EN-INF-001,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01499,source,201,FR-INF-002,EN-INF-002,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01507,source,202,FR-INF-003,EN-INF-003,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01515,source,203,FR-INF-004,EN-INF-004,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01523,source,204,FR-INF-005,EN-INF-005,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01531,source,205,FR-INF-006,EN-INF-006,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01539,source,206,FR-INF-007,EN-INF-007,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01547,source,207,FR-INF-008,EN-INF-008,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01555,source,208,FR-INF-009,EN-INF-009,LOC_중앙킬존,,359.8,0,accepted,
