subject,predicate,object,latitude,longitude,timestamp,source,CID
FRM901001,none,,21.38680798,-157.73443834,2026-08-03T22:00:00.000Z,UAV 4,
ENCAESAR002,move to,LOC_북측예비방어선,21.37575122,-157.73461497,2026-08-03T22:00:00.000Z,UAV 4,
FRT69002,move to,LOC_중앙킬존남측,21.38062375,-157.73220904,2026-08-03T22:00:00.000Z,UAV 4,
FRT69001,move to,LOC_중앙킬존남측,21.38083112,-157.73220700,2026-08-03T22:00:00.000Z,UAV 4,
FRMORT002,FFE-on-Location,LOC_적박격포진지,21.39124517,-157.73722922,2026-08-03T22:00:00.000Z,UAV 4,
FRM113003,move to,LOC_중앙킬존남측,21.38989816,-157.74194303,2026-08-03T22:00:00.000Z,UAV 4,
FRAHS001,move to,LOC_목표A남측,21.38646271,-157.73469917,2026-08-03T22:00:00.000Z,UAV 4,
FRT69006,move to,LOC_중앙킬존남측,21.38096188,-157.73222439,2026-08-03T22:00:00.000Z,UAV 4,
ENCAESAR004,move to,LOC_북측예비방어선,21.37601276,-157.73451630,2026-08-03T22:00:00.000Z,UAV 4,
FRT69003,move to,LOC_중앙킬존남측,21.38097332,-157.73240275,2026-08-03T22:00:00.000Z,UAV 4,
FRT69005,move to,LOC_중앙킬존남측,21.38100014,-157.73233777,2026-08-03T22:00:00.000Z,UAV 4,
FRM113006,move to,LOC_중앙킬존남측,21.38989399,-157.74190826,2026-08-03T22:00:00.000Z,UAV 4,
FRMORT004,none,,21.39105358,-157.73697074,2026-08-03T22:00:00.000Z,UAV 4,
FRT69004,move to,LOC_중앙킬존남측,21.38065700,-157.73204394,2026-08-03T22:00:00.000Z,UAV 4,
ENCAESAR003,move to,LOC_적북측접근로,21.37585208,-157.73459179,2026-08-03T22:00:00.000Z,UAV 4,
FRM109003,move to,LOC_목표A남측,21.38680864,-157.73465517,2026-08-03T22:00:00.000Z,UAV 4,
FRM109002,move to,LOC_중앙킬존남측,21.38670406,-157.73454745,2026-08-03T22:00:00.000Z,UAV 4,
