subject,predicate,object,timestamp,latitude,longitude,source,force,tracking_id,uuid,entity_type,damage,smoke,flaming,mobility_kill,firepower_kill,suppression_level
FRM113007,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.39210034,-157.74774099,UAV 4,1,1:3001:151,FRM113007,1:1:225:2:3:1:0,0,false,false,false,false,0
FRM113006,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.39241551,-157.74769467,UAV 4,1,1:3001:203,FRM113006,1:1:225:2:3:1:0,0,false,false,false,false,0
FRM113005,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.39237901,-157.74760686,UAV 4,1,1:3001:289,FRM113005,1:1:225:2:3:1:0,0,false,false,false,false,0
FRT69007,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.38723498,-157.73572679,UAV 4,1,1:3001:51,FRT69007,1:1:45:1:2:1:0,0,false,false,false,false,0
FRT69002,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.38679397,-157.73573473,UAV 4,1,1:3001:64,FRT69002,1:1:45:1:2:1:0,0,false,false,false,false,0
FRT69001,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.38670584,-157.73573631,UAV 4,1,1:3001:66,FRT69001,1:1:45:1:2:1:0,0,false,false,false,false,0
FRM113003,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.39197507,-157.74740200,UAV 4,1,1:3001:88,FRM113003,1:1:225:2:3:1:0,0,false,false,false,false,0
FRT69006,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.38714673,-157.73572838,UAV 4,1,1:3001:110,FRT69006,1:1:45:1:2:1:0,0,false,false,false,false,0
FRLAV002,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.39123112,-157.74535145,UAV 4,1,1:3001:135,FRLAV002,1:1:39:2:6:1:0,0,false,false,false,false,0
FRT69003,move to,LOC_중앙킬존남측,2026-08-09T08:53:44.000Z,21.38688212,-157.73573315,UAV 4,1,1:3001:149,FRT69003,1:1:45:1:2:1:0,0,false,false,false,false,0
