object_id,t0,t1,state,location
EN-BTR60-001,0,9,대기,LOC_적북측집결지
EN-BTR60-001,9,162,대기,LOC_적북측집결지
EN-BTR60-001,162,374,기동,LOC_중앙계곡
EN-BTR60-001,374,417,손상,LOC_중앙킬존
EN-BTR60-002,0,9,대기,LOC_적북측집결지
EN-BTR60-002,9,163,대기,LOC_적북측집결지
EN-BTR60-002,163,349,기동,LOC_중앙계곡
EN-BTR60-002,349,417,후퇴,LOC_적북측접근로
EN-BTR60-003,0,9,대기,LOC_적북측집결지
EN-BTR60-003,9,164,대기,LOC_적북측집결지
EN-BTR60-003,164,349,기동,LOC_중앙계곡
EN-BTR60-003,349,417,후퇴,LOC_북측예비방어선
EN-BTR60-004,0,9,대기,LOC_적북측집결지
EN-BTR60-004,9,165,대기,LOC_적북측집결지
EN-BTR60-004,165,349,기동,LOC_중앙계곡
EN-BTR60-004,349,417,후퇴,LOC_적북측접근로
EN-BTR80-001,0,9,대기,LOC_적북측집결지
EN-BTR80-001,9,170,대기,LOC_적북측집결지
EN-BTR80-001,170,349,기동,LOC_중앙계곡
EN-BTR80-001,349,417,후퇴,LOC_북측예비방어선
EN-BTR80-002,0,9,대기,LOC_적북측집결지
EN-BTR80-002,9,171,대기,LOC_적북측집결지
EN-BTR80-002,171,349,기동,LOC_중앙계곡
EN-BTR80-002,349,417,후퇴,LOC_적북측접근로
EN-BTR80-003,0,10,대기,LOC_적북측집결지
EN-BTR80-003,10,172,대기,LOC_적북측집결지
EN-BTR80-003,172,350,기동,LOC_중앙계곡
EN-BTR80-003,350,417,후퇴,LOC_북측예비방어선
EN-CAESAR-001,0,10,대기,LOC_적포병진지
EN-CAESAR-001,10,116,사격 준비 대기,LOC_적포병진지
EN-CAESAR-001,116,136,사격 준비,LOC_적포병진지
EN-CAESAR-001,136,351,사격,LOC_적포병진지
EN-CAESAR-001,351,417,후퇴,LOC_적북측접근로
EN-CAESAR-002,0,10,대기,LOC_적포병진지
EN-CAESAR-002,10,117,사격 준비 대기,LOC_적포병진지
EN-CAESAR-002,117,137,사격 준비,LOC_적포병진지
EN-CAESAR-002,137,351,사격,LOC_적포병진지
EN-CAESAR-002,351,417,후퇴,LOC_북측예비방어선
EN-CAESAR-003,0,10,대기,LOC_적포병진지
EN-CAESAR-003,10,118,사격 준비 대기,LOC_적포병진지
EN-CAESAR-003,118,138,사격 준비,LOC_적포병진지
EN-CAESAR-003,138,351,사격,LOC_적포병진지
EN-CAESAR-003,351,417,후퇴,LOC_적북측접근로
EN-FP-001,0,121,정상,
EN-FP-001,121,125,피격 지역,
EN-FP-001,125,129,피격 지역,
EN-FP-001,129,417,피격 지역,
EN-FP-002,0,122,정상,
EN-FP-002,122,126,피격 지역,
EN-FP-002,126,130,피격 지역,
EN-FP-002,130,417,피격 지역,
EN-GAZ-001,0,10,대기,LOC_적후방보급집결지
EN-GAZ-001,10,177,적재 대기,LOC_적후방보급집결지
EN-GAZ-001,177,350,기동,LOC_적북측접근로
EN-GAZ-001,350,394,후퇴,LOC_적북측접근로
EN-GAZ-001,394,417,보급 정차,LOC_적전방방어선후방
EN-GAZ-002,0,10,대기,LOC_적후방보급집결지
EN-GAZ-002,10,178,적재 대기,LOC_적후방보급집결지
EN-GAZ-002,178,350,기동,LOC_적북측접근로
EN-GAZ-002,350,395,후퇴,LOC_북측예비방어선
EN-GAZ-002,395,417,보급 정차,LOC_적전방방어선후방
EN-INF-001,0,4,대기,LOC_적북측집결지
EN-INF-001,4,60,대기,LOC_적북측집결지
EN-INF-001,60,201,공격 이동,LOC_적북측접근로
EN-INF-001,201,368,제압,LOC_중앙킬존
EN-INF-001,368,417,제압,LOC_중앙킬존
EN-INF-002,0,4,대기,LOC_적북측집결지
EN-INF-002,4,60,대기,LOC_적북측집결지
EN-INF-002,60,202,공격 이동,LOC_적북측접근로
EN-INF-002,202,368,제압,LOC_중앙킬존
EN-INF-002,368,417,제압,LOC_중앙킬존
EN-INF-003,0,5,대기,LOC_적북측집결지
EN-INF-003,5,60,대기,LOC_적북측집결지
EN-INF-003,60,203,공격 이동,LOC_적북측접근로
EN-INF-003,203,368,제압,LOC_중앙킬존
EN-INF-003,368,417,제압,LOC_중앙킬존
EN-INF-004,0,5,대기,LOC_적북측집결지
EN-INF-004,5,60,대기,LOC_적북측집결지
EN-INF-004,60,204,공격 이동,LOC_적북측접근로
EN-INF-004,204,368,제압,LOC_중앙킬존
EN-INF-004,368,417,제압,LOC_중앙킬존
EN-INF-005,0,5,대기,LOC_적북측집결지
EN-INF-005,5,60,대기,LOC_적북측집결지
EN-INF-005,60,205,공격 이동,LOC_적북측접근로
EN-INF-005,205,368,제압,LOC_중앙킬존
EN-INF-005,368,417,제압,LOC_중앙킬존
EN-INF-006,0,5,대기,LOC_적북측집결지
EN-INF-006,5,60,대기,LOC_적북측집결지
EN-INF-006,60,206,공격 이동,LOC_적북측접근로
EN-INF-006,206,368,제압,LOC_중앙킬존
EN-INF-006,368,417,제압,LOC_중앙킬존
EN-INF-007,0,5,대기,LOC_적북측집결지
EN-INF-007,5,60,대기,LOC_적북측집결지
EN-INF-007,60,207,공격 이동,LOC_적북측접근로
