code,loc_id,uuid,lat,lon
S_DEF1,LOC_남측제1방어선,5d100cc5-c87f-5ca6-a5b7-7b6b2f8a3437,21.3866265,-157.7390725
E_RIDGE,LOC_동측능선,062d5167-4676-53f3-ac20-7f6b3fbb83d5,21.3751179,-157.7532937
OBJ_A_S,LOC_목표A남측,62f22b9c-d768-531d-9242-e32d8a056ee9,21.3804450,-157.7516525
W_RIDGE,LOC_서측능선,d88e8f4d-5b5b-53c6-9b0e-9c4c02d86011,21.3808148,-157.7322768
S_MORT,LOC_아군박격포진지,fd88a63e-0d7c-53d2-b96e-9064a8853d55,21.3911227,-157.7371895
S_ARTY,LOC_아군포병진지,bccdb9ee-71b9-53a0-ae70-e515455efefe,21.3953015,-157.7372565
N_MORT,LOC_적박격포진지,218b0c04-a2a4-5b17-b2d5-5e02b250db02,21.3745563,-157.7371594
N_AVE,LOC_적북측접근로,6f422f5b-91dc-5053-aed4-ab28c066d40a,21.3713302,-157.7417400
N_ARTY,LOC_적포병진지,80d11bf1-3794-5e70-9909-f5a922d8069e,21.3672844,-157.7317356
C_KILLZONE,LOC_중앙킬존,c2569d71-6b52-5226-bbdb-7c46442b011e,21.3837615,-157.7449152
C_KZ_S,LOC_중앙킬존남측,8b933aa0-2ebc-5d8e-b77c-73b701707d95,21.3808417,-157.7464139
