object_id,name,faction,entity_class,type_group,marking,initial_state,n_tasks,n_dropped,t_first,t_last,kinds,sequence
EN-BTR60-001,병력수송 장갑차 1,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60001,대기,1,0,02:42,02:42,move×1,02:42 좌표로 이동→LOC_중앙계곡
EN-BTR60-002,병력수송 장갑차 2,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60002,대기,2,0,02:43,05:49,move×2,02:43 좌표로 이동→LOC_중앙계곡 | 05:49 좌표로 이동→LOC_적북측접근로
EN-BTR60-003,병력수송 장갑차 3,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60003,대기,2,0,02:44,05:49,move×2,02:44 좌표로 이동→LOC_중앙계곡 | 05:49 좌표로 이동→LOC_북측예비방어선
EN-BTR60-004,병력수송 장갑차 4,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60004,대기,2,0,02:45,05:49,move×2,02:45 좌표로 이동→LOC_중앙계곡 | 05:49 좌표로 이동→LOC_적북측접근로
EN-BTR80-001,화력지원 장갑차 1,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80001,대기,2,0,02:50,05:49,move×2,02:50 좌표로 이동→LOC_중앙계곡 | 05:49 좌표로 이동→LOC_북측예비방어선
EN-BTR80-002,화력지원 장갑차 2,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80002,대기,2,0,02:51,05:49,move×2,02:51 좌표로 이동→LOC_중앙계곡 | 05:49 좌표로 이동→LOC_적북측접근로
EN-BTR80-003,화력지원 장갑차 3,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80003,대기,2,0,02:52,05:50,move×2,02:52 좌표로 이동→LOC_중앙계곡 | 05:50 좌표로 이동→LOC_북측예비방어선
EN-CAESAR-001,자주포 1,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR001,대기,2,0,02:16,05:51,fire_indirect×1 move×1,02:16 좌표 대상 간접사격→FR-LN-001 | 05:51 좌표로 이동→LOC_적북측접근로
EN-CAESAR-002,자주포 2,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR002,대기,2,0,02:17,05:51,fire_indirect×1 move×1,02:17 좌표 대상 간접사격→FR-FP-001 | 05:51 좌표로 이동→LOC_북측예비방어선
EN-CAESAR-003,자주포 3,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR003,대기,2,0,02:18,05:51,fire_indirect×1 move×1,02:18 좌표 대상 간접사격→FR-FP-002 | 05:51 좌표로 이동→LOC_적북측접근로
EN-GAZ-001,탄약 보급차 1,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ001,대기,4,0,02:57,06:34,move×2 move_slow×1 set_speed×1,02:57 좌표로 이동→LOC_적북측접근로 | 05:50 좌표로 이동→LOC_적북측접근로 | 06:34 속도 지정 | 06:34 좌표로 이동→LOC_적전방방어선후방
EN-GAZ-002,탄약 보급차 2,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ002,대기,4,0,02:58,06:35,move×2 move_slow×1 set_speed×1,02:58 좌표로 이동→LOC_적북측접근로 | 05:50 좌표로 이동→LOC_북측예비방어선 | 06:35 속도 지정 | 06:35 좌표로 이동→LOC_적전방방어선후방
EN-INF-001,제1제대 보병 1,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF001,대기,2,0,01:00,03:21,move×1 take_cover×1,01:00 좌표로 이동→LOC_적북측접근로 | 03:21 피격 후 엄폐→FR-INF-001
EN-INF-002,제1제대 보병 2,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF002,대기,2,0,01:00,03:22,follow×1 take_cover×1,01:00 대형 추종 이동→EN-INF-001 | 03:22 피격 후 엄폐→FR-INF-002
EN-INF-003,제1제대 보병 3,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF003,대기,2,0,01:00,03:23,follow×1 take_cover×1,01:00 대형 추종 이동→EN-INF-001 | 03:23 피격 후 엄폐→FR-INF-003
