object_id,name,faction,entity_class,type_group,marking,seq,time,time_s,event_id,template,task_kind,action_label,task_type,script_id,ref_id,ref_kind,in_scnx,note
EN-BTR60-001,병력수송 장갑차 1,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60001,1,02:42,162,E00651,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-BTR60-002,병력수송 장갑차 2,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60002,1,02:43,163,E00653,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-BTR60-002,병력수송 장갑차 2,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60002,2,05:49,349,E01036,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-BTR60-003,병력수송 장갑차 3,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60003,1,02:44,164,E00655,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-BTR60-003,병력수송 장갑차 3,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60003,2,05:49,349,E01038,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-BTR60-004,병력수송 장갑차 4,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60004,1,02:45,165,E00657,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-BTR60-004,병력수송 장갑차 4,RED,BTR-60 APC,차량/장갑차 - M2HB 계열,ENBTR60004,2,05:49,349,E01040,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-BTR80-001,화력지원 장갑차 1,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80001,1,02:50,170,E00659,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-BTR80-001,화력지원 장갑차 1,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80001,2,05:49,349,E01042,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-BTR80-002,화력지원 장갑차 2,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80002,1,02:51,171,E00661,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
