entity_class,dis,domain,source_note
AHS Krab Howitzer,1 1 175 4 3 0 0,land,국가코드+클래스로 특정(golden 수확)
BTR 60 APC,1 1 222 2 8 1 0,land,VRFEntityCatalog.pdf에서 확정
BTR 80 APC,1 1 222 2 13 0 0,land,VRFEntityCatalog.pdf에서 확정
CAESAR SP Howitzer,1 1 71 4 0 0 0,land,VRFEntityCatalog.pdf에서 확정
GAZ 66 Truck,1 1 222 7 8 0 0,land,국가코드+클래스로 특정(golden 수확)
LAV III APC,1 1 39 2 6 1 0,land,국가코드+클래스로 특정(golden 수확)
M1028 FMTV Canvas Cargo Truck,1 1 225 7 12 0 0,land,VRFEntityCatalog.pdf에서 확정
M1083A1 FMTV Flatbed Truck,1 1 225 7 12 8 0,land,VRFEntityCatalog.pdf에서 확정
M109 Howitzer,1 1 225 4 3 6 0,land,국가코드+클래스로 특정(golden 수확)
M113 APC,1 1 225 2 3 1 0,land,국가코드+클래스로 특정(golden 수확)
M35 Truck,1 1 225 7 1 6 0,land,국가코드+클래스로 특정(golden 수확)
M901 Patriot Launcher,1 1 225 28 2 2 2,land,VRFEntityCatalog.pdf에서 확정
MO 120RT 61 Mortar,1 1 71 10 1 0 1,land,VRFEntityCatalog.pdf에서 확정
Russian Soldier AK47,3 1 222 11 5 30 6,land,국가코드+클래스로 특정(golden 수확)
Russian Soldier Sniper-127,3 1 222 11 15 40 6,land,국가코드+클래스로 특정(golden 수확)
T 69 MBT,1 1 45 1 2 1 0,land,국가코드+클래스로 특정(golden 수확)
T 72 MBT,1 1 222 1 2 1 0,land,국가코드+클래스로 특정(golden 수확)
T 80 MBT,1 1 222 1 1 1 0,land,국가코드+클래스로 특정(golden 수확)
Turkish Soldier RPG,3 1 218 11 70 10 8,land,국가코드+클래스로 특정(golden 수확)
US Army Javelin,3 1 225 1 81 1 0,land,국가코드+클래스로 특정(golden 수확)
US Army M4,3 1 225 1 41 1 0,land,국가코드+클래스로 특정(golden 수확)
US Army XM107,3 1 225 11 17 1 6,land,국가코드+클래스로 특정(golden 수확)
ZPU 4 AA Gun,1 1 222 28 13 7 3,land,국가코드+클래스로 특정(golden 수확)
M1A2 Abrams MBT,1 1 225 1 1 3 0,land,국가코드+클래스로 특정(golden 수확)
MIM-104 Patriot Launcher,1 1 225 28 2 0 0,land,VRFEntityCatalog.pdf에서 확정
Russian Soldier SA7,3 1 222 11 45 1 8,land,국가코드+클래스로 특정(golden 수확)
