규칙,키,최소이격_m,대형,최대정면_m,비고
기본,,10,격자,300,"어느 표에도 걸리지 않는 모델·지명이 쓰는 값. 차량 기준 10m."
타입그룹,보병 - 소총(M4 계열),2,,,"사람 한 명. 분대 밀집 대형의 실제 간격."
타입그룹,보병 - RPG 계열,2,,,
타입그룹,차량/장갑차 - M2HB 계열,10,,,"전차·장갑차가 같은 그룹이다. 긴 쪽(T-72 6.9m·BTR-60 7.6m)에 여유를 더한 값."
타입그룹,포병 - 155mm 자주포,15,,,"포신 후퇴와 사격 부채꼴을 고려한 포간 거리."
타입그룹,포병 - 박격포(m9333he 계열),12,,,
타입그룹,미사일 발사대 - Patriot,15,,,"발사대 후폭풍."
타입그룹,무인기 - 짐벌 센서,50,,,"고정 객체라 이 배치기를 타지 않는다. 값은 기록용."
지명,LOC_남측제1방어선,,선형,600,"방어선은 전장 축에 수직인 선이다. 부대·타입별로 한 열(rank)씩 뒤로 겹친다."
지명,LOC_남측제2방어선,,선형,600,
지명,LOC_남측제1방어선전방,,선형,400,
지명,LOC_북측전방방어선,,선형,600,
지명,LOC_북측예비방어선,,선형,600,
지명,LOC_적전방방어선후방,,선형,400,
지명,LOC_동측능선,,선형,500,"능선은 지형선을 따라 늘어선다."
지명,LOC_서측능선,,선형,500,
지명,LOC_중앙킬존남측,,선형,500,
지명,LOC_목표A남측,,선형,400,
지명,LOC_적북측접근로,,종대,80,"접근로는 도로폭 안의 종대."
지명,LOC_동측측방접근로,,종대,80,
지명,LOC_적북측집결지,,격자,250,"집결지는 부대별 블록을 늘어놓은 격자."
지명,LOC_적후방보급집결지,,격자,150,
지명,LOC_아군후방보급집결지,,격자,150,
지명,LOC_아군포병진지,,격자,200,"포진지는 포간 15m 격자."
지명,LOC_적포병진지,,격자,200,
지명,LOC_아군박격포진지,,격자,150,
지명,LOC_적박격포진지,,격자,150,
