객체_타입_그룹,행동,Plan_요소,task_type_or_request_type,PLN_문법,교체할_파라미터,비고
보병 - 소총(M4 계열),좌표로 이동,Task,move-to-location-task,"(Task (task-type ""move-to-location-task"") (subtask False) (allow-task-visualizations True) (aiming-point X Y Z) (continue-moving-flag False))","X,Y,Z; continue-moving-flag",
보병 - 소총(M4 계열),경로 따라 이동,Task,move-along,"(Task (task-type ""move-along"") (subtask False) (allow-task-visualizations True) (route ""VRF_UUID:ROUTE_UUID"") (traversal-direction 0) (start-at-closest-point True))",ROUTE_UUID; traversal-direction; start-at-closest-point,
보병 - 소총(M4 계열),객체 추적,Task,follow-entity,"(Task (task-type ""follow-entity"") (subtask False) (allow-task-visualizations True) (entity ""VRF_UUID:ENTITY_UUID"") (offset X Y Z))","ENTITY_UUID; offset X,Y,Z",
보병 - 소총(M4 계열),차량 탑승,Task,embark-task,"(Task (task-type ""embark-task"") (subtask False) (allow-task-visualizations True) (parent ""VRF_UUID:VEHICLE_UUID"") (load-override False) (load-override-position 0.0 0.0 0.0) (embark-in-slot -1) (any-if-taken True) (slot-name """") (slot-type ""*""))",VEHICLE_UUID; 슬롯 관련 값,
보병 - 소총(M4 계열),차량 하차,Task,disembark-entity-task,"(Task (task-type ""disembark-entity-task"") (subtask False) (allow-task-visualizations True))",없음,
보병 - 소총(M4 계열),대상 직접사격,Task,fire-at-target,"(Task (task-type ""fire-at-target"") (subtask False) (allow-task-visualizations True) (auto-select-weapon False) (weapon-to-fire ""M4 rifle"") (target ""VRF_UUID:TARGET_UUID"") (max-rounds-to-fire 1))",TARGET_UUID; auto-select-weapon; weapon-to-fire; max-rounds-to-fire,
보병 - 소총(M4 계열),대상 자동무장 사격,Task,fire-at-target,"(Task (task-type ""fire-at-target"") (subtask False) (allow-task-visualizations True) (auto-select-weapon True) (weapon-to-fire """") (target ""VRF_UUID:TARGET_UUID"") (max-rounds-to-fire 1))",TARGET_UUID; max-rounds-to-fire,
보병 - 소총(M4 계열),객체 조준,Set,set-aiming-point,"(Set (set-data-request-type ""set-aiming-point"") (aiming-point 0.0 0.0 0.0) (target-object ""VRF_UUID:TARGET_UUID"") (aiming-azimuth 0.0) (aiming-elevation 0.0) (aiming-type 1) (weapon ""M4 rifle""))",TARGET_UUID; weapon; aiming-type,
보병 - RPG 계열,좌표로 이동,Task,move-to-location-task,"(Task (task-type ""move-to-location-task"") (subtask False) (allow-task-visualizations True) (aiming-point X Y Z) (continue-moving-flag False))","X,Y,Z; continue-moving-flag",
보병 - RPG 계열,경로 따라 이동,Task,move-along,"(Task (task-type ""move-along"") (subtask False) (allow-task-visualizations True) (route ""VRF_UUID:ROUTE_UUID"") (traversal-direction 0) (start-at-closest-point True))",ROUTE_UUID; traversal-direction; start-at-closest-point,
보병 - RPG 계열,객체 추적,Task,follow-entity,"(Task (task-type ""follow-entity"") (subtask False) (allow-task-visualizations True) (entity ""VRF_UUID:ENTITY_UUID"") (offset X Y Z))","ENTITY_UUID; offset X,Y,Z",
보병 - RPG 계열,차량 탑승,Task,embark-task,"(Task (task-type ""embark-task"") (subtask False) (allow-task-visualizations True) (parent ""VRF_UUID:VEHICLE_UUID"") (load-override False) (load-override-position 0.0 0.0 0.0) (embark-in-slot -1) (any-if-taken True) (slot-name """") (slot-type ""*""))",VEHICLE_UUID; 슬롯 관련 값,
보병 - RPG 계열,차량 하차,Task,disembark-entity-task,"(Task (task-type ""disembark-entity-task"") (subtask False) (allow-task-visualizations True))",없음,
보병 - RPG 계열,대상 직접사격,Task,fire-at-target,"(Task (task-type ""fire-at-target"") (subtask False) (allow-task-visualizations True) (auto-select-weapon False) (weapon-to-fire ""Handheld RPG Launcher"") (target ""VRF_UUID:TARGET_UUID"") (max-rounds-to-fire 1))",TARGET_UUID; max-rounds-to-fire,
보병 - RPG 계열,객체 조준,Set,set-aiming-point,"(Set (set-data-request-type ""set-aiming-point"") (aiming-point 0.0 0.0 0.0) (target-object ""VRF_UUID:TARGET_UUID"") (aiming-azimuth 0.0) (aiming-elevation 0.0) (aiming-type 1) (weapon ""Handheld RPG Launcher""))",TARGET_UUID; aiming-type,
차량/장갑차 - M2HB 계열,통제점으로 이동,Task,move-to,"(Task (task-type ""move-to"") (subtask False) (allow-task-visualizations True) (control-point ""VRF_UUID:CONTROL_POINT_UUID"") (continue-moving-flag False))",CONTROL_POINT_UUID; continue-moving-flag,
차량/장갑차 - M2HB 계열,경로 따라 이동,Task,move-along,"(Task (task-type ""move-along"") (subtask False) (allow-task-visualizations True) (route ""VRF_UUID:ROUTE_UUID"") (traversal-direction 0) (start-at-closest-point True))",ROUTE_UUID; traversal-direction; start-at-closest-point,
차량/장갑차 - M2HB 계열,객체 추적,Task,follow-entity,"(Task (task-type ""follow-entity"") (subtask False) (allow-task-visualizations True) (entity ""VRF_UUID:ENTITY_UUID"") (offset X Y Z))","ENTITY_UUID; offset X,Y,Z",
차량/장갑차 - M2HB 계열,대상 직접사격,Task,fire-at-target,"(Task (task-type ""fire-at-target"") (subtask False) (allow-task-visualizations True) (auto-select-weapon False) (weapon-to-fire ""M2HB Machine Gun"") (target ""VRF_UUID:TARGET_UUID"") (max-rounds-to-fire 1))",TARGET_UUID; max-rounds-to-fire,
차량/장갑차 - M2HB 계열,대상 지정,Set,set-target,"(Set (set-data-request-type ""set-target"") (target ""VRF_UUID:TARGET_UUID""))",TARGET_UUID,
차량/장갑차 - M2HB 계열,객체 조준,Set,set-aiming-point,"(Set (set-data-request-type ""set-aiming-point"") (aiming-point 0.0 0.0 0.0) (target-object ""VRF_UUID:TARGET_UUID"") (aiming-azimuth 0.0) (aiming-elevation 0.0) (aiming-type 1) (weapon ""M2HB Machine Gun""))",TARGET_UUID; aiming-type,
차량/장갑차 - M2HB 계열,방향 조준,Set,set-aiming-point,"(Set (set-data-request-type ""set-aiming-point"") (aiming-point 0.0 0.0 0.0) (target-object """") (aiming-azimuth AZIMUTH_RAD) (aiming-elevation ELEVATION_RAD) (aiming-type 2) (weapon ""M2HB Machine Gun""))",AZIMUTH_RAD; ELEVATION_RAD,
차량/장갑차 - M2HB 계열,조준 해제/기본 조준,Set,set-aiming-point,"(Set (set-data-request-type ""set-aiming-point"") (aiming-point 0.0 0.0 0.0) (target-object """") (aiming-azimuth 0.0) (aiming-elevation 0.0) (aiming-type 3) (weapon ""M2HB Machine Gun""))",weapon,aiming-type 3의 정확한 UI 의미는 추가 검증 필요
